fila,pregunta,grupo,texto
93,q1,__todos__,Al Uruguay de hoy lo veo en crisis económica  de seguridad  de valores  educativa. Creo que desde el gobierno no llegan señales claras.nLas fuentes de trabajo son escasas  principalmente en el interior. nLos delitos  en mi departamento  no tienen la magnitud que tienen los de Montevideo pero son cada vez más frecuentes. nLa propuesta de titular a quienes dictan clases en Secundaria sin haber culminado la carrera es un disparate.nLa carga impositiva desmotiva a quienes emprenden.
94,q1,__todos__,Lo veo sin un rumbo claro ni un lineamiento claro
95,q1,__todos__,Deteriorándose
96,q1,__todos__,Me preocupa mucho la educación. Hay niños que llegan sin poder escribir con coherencia a 6to año. Veo adultos jóvenes que se les envía un pequeño texto como Buenos días  el lunes a la entrada  nos reunirnos brevemente para ultimar detalles del viaje escolar. Automáticamente es  una catarata de preguntas  cuándo es? para qué es? a qué hora?. Y es la generalidad  no la excepción.nOtra preocupación es la falta de fuentes genuinas de trabajo  los jóvenes están subempleados ya sea en actividades zafrales o en puestos mal remunerados. Eso conduce a que tengan más probabilidad de introducirse en pequeñas tareas para el narcotráfico. Obviamente eso lleva a la tercera preocupación  la inseguridad en todo nivel  con realizar allanamientos e incautaciones se ponen paños frios  pero no terminan el problema de raiz.
97,q1,__todos__,Veo que tiene un desafío importante en cuanto al crecimiento del pib y el déficit fiscal. El salario real está aumentando lo cual es positivo. Preocupa el indicador adelantado de crecimiento que dió un poco bajo en el último dato. Se están encarando los problemas de primera infancia. En seguridad la cantidad de presos es muy alta. Los homicidios está muy altos y sin problemas relacionados. Urge mejorar las cárceles y reducir el número de presos
98,q1,__todos__,Bastante mal. Existe una importante desigualdad. Los salarios son muy bajos para el valor de los productos y alquileres. Sumado a esto la violencia e inseguridad lamentablemente son noticia todos los días.
99,q1,__todos__,totalmente preocupante en todos los aspectos
100,q1,__todos__,Dentro de todo no es perfecto Pero siento que si siempre y cuando sepas donde no meterte  puedes creser o al menos mantenerte no es fácil pero es posible.La salud no es la mejor pero está lejos de ser malo tiene sus contras pero sigue siendo algo que puede ser mejor que la salud privada en varios puntos. Trabajo  el trabajo es complicado los sueldos son bajos especialmente si quieres vivir solo se hace un cuesta arriba casi imposible de subir para la mayoría solo los trabajos técnicos o si tienes la suerte de conseguir un empleo bien remunerado son los que siquiera pueden permitirse ahorrar. Vivir en general  pues que se puede desir que no se allá dicho  caro a más no poder pero aún así si tuviste suerte de tener ya un terreno y casa para no pagar alquiler es entonces más llevadero. Creo que esto engloba bastante mi opinión un lugar hermoso Pero duro para vivir y crecer  me disculpo si mi respuesta quedó demasiado extendida.
101,q1,__todos__,Bien  con mucho camino por resolver  en lo social  educación  equidad (económica  de género  laboral  etc.)  la clase política  muchas veces lejos de las necesidades de la población  en favor de intereses particulares
102,q1,__todos__,Hoy Uruguay está un poco complicado  entre las guerras y las deudas abultadas que dejó el gobierno anterior. De todas formas están tratando de cumplir el programa y las urgencias sociales
103,q1,__todos__,¿ Tengo una semana para responder ?
104,q1,__todos__,Seguridad: lamentable. Economía: desmejorando
105,q1,__todos__,Veo un país que administra con solidez institucional pero sin agenda de futuro. La estabilidad política es un activo  pero se está usando más para conservar equilibrios que para disputar los problemas que vienen — precarización laboral generacional  presupuesto educativo estancado y una revolución tecnológica (IA) que ya está adentro del aula y de la sociedad sin que exista todavía un debate público a la altura de sus consecuencias. El riesgo no es la crisis: es una inercia tranquila  casi cómoda  que nos permite creer que estamos bien porque no estamos mal  mientras el mundo redefine las reglas del trabajo  el conocimiento y la tecnología sin que Uruguay decida activamente qué lugar quiere ocupar en esa transformación.
106,q1,__todos__,Creo que el Uruguay de hoy es un país que tiene muchas fortalezas  pero también enfrenta desafíos importantes. Seguimos siendo una sociedad con instituciones fuertes  con una democracia consolidada y con una calidad de vida que muchas veces no valoramos lo suficiente. Pero al mismo tiempo siento que hay preocupaciones que están muy presentes en la vida cotidiana de la gente: el costo de vida  el acceso a la vivienda  las oportunidades laborales  la educación  la seguridad y  especialmente  las desigualdades que todavía existen entre quienes tienen más oportunidades y quienes quedan un poco al margen.nnTambién creo que Uruguay tiene un enorme potencial y que muchas veces nos falta confiar más en nosotros mismos y en nuestras capacidades. Hay muchísimo talento  gente comprometida y comunidades que trabajan día a día para salir adelante.nnDesde mi lugar  particularmente me preocupa que las políticas públicas puedan llegar realmente a las personas y que no nos quedemos solamente en los grandes números. Creo que necesitamos un Uruguay que siga creciendo  pero que ese crecimiento se traduzca en más oportunidades  especialmente para los jóvenes  para las familias y para quienes viven en el interior.nnEn definitiva  veo un Uruguay con dificultades  sí  pero también con muchas posibilidades. Soy crítica con lo que creo que se puede mejorar  pero también soy optimista  porque creo que tenemos las herramientas  las personas y la capacidad para construir un país mejor.
107,q1,__todos__,Lo veo bien. Tiene que consolidar algunas politicas sociales para que esté mejor
108,q1,__todos__,Caoticamente mala. Y cada día se siente y se vive peor
109,q1,__todos__,Lo veo triste  gris  apagado
110,q1,__todos__,Siento que está muy inseguro
111,q1,__todos__,El país atraviesa un proceso de deterioro social y económico  marcado por la ccreciente inseguridad  la falta de respuestas efectivas por parte del gobierno ante las necesidades de la ciudadanía y un contexto económico cada vez más desfavorable.
112,q1,__todos__,Uruguay hoy presenta un panorama de estabilidad democrática y económica  con una transición política en marcha tras las elecciones internas de junio  mirando hacia los comicios nacionales de octubre
113,q1,__todos__,Compleja  mucha gente en las calles  sobre todo jóvenes  el tema de la droga está pegando fuerte. Pocas oportunidades laborales para los jóvenes sobre todo si no son de universidad privada. La seguridad es otro tema que no han podido resolver ninguno de los gobiernos. Es un país caro  la locomoción es cara y la comida también
114,q1,__todos__,Siento que nuestro país para desarrollarse necesita fortalecer la cultura de trabajo  para eso hay que crear fuentes de trabajo  me gusta más un mides que se encargue de gestionar fuentes de trabajo  si la gente que necesita tiene fuerza de trabajo hay que darle trabajo estable  baste de asistencialismo. A desarrollar la cultura de trabajo
115,q1,__todos__,Socioeconómicamente muy polarizado  tanto en la capital como en el resto del país  sin programas sociales que aborden la pobreza crónica desde hace unos 15 años. Con un discurso generalizado de los problemas son los otros o de otros Con un descreimiento de la clase política (que algún sociólogo tendrá que investigar). nY no se en años como lo mediría  con poca probabilidad de cambios en todos los órdenes  más en socioeconómico y  cultural a corto  mediano y largo plazo. No soy pesimista sino realista.
116,q1,__todos__,Dificil
117,q1,__todos__,Dificil en lo economico  en lo laboral y en lo social   sibre todo respecto a la violencia
118,q1,__todos__,Mal. Para mi estamos pasando una situación critica
119,q1,__todos__,Creo que Uruguay tiene cosas buenas  pero también varios desafíos. Hoy se nota que muchas personas tienen dificultades para llegar a fin de mes por el costo de vida  y siguen existiendo desigualdades en temas como el trabajo  la vivienda y las oportunidades
