fila,pregunta,grupo,texto
27,q2,__todos__,"Para mí, tener una buena vida es vivir en paz. Tener un empleo digno, sin riqueza ni lujo, simplemente para poder llevar un plato de comida a la mesa de los niños y pagar las cuentas. Y poder pasear por las tardes, por la rambla, ir a un parque con mi familia, sin miedo a que nos asalten o que pase otra cosa peor. Ya, simplemente es ver a mi hijo crecer y que puede estudiar una buena carrera. Ese es mi concepto de la buena vida."
28,q2,__todos__,Buena vida sería poder comprar las necesidades diarias sin contar el dinero todos los días! nPoder viajar de ves en cuando ! Tener una casa propia auto y no ser un esclavo del trabajo para disfrutar de la familia
29,q2,__todos__,Poder llegar a fin de mes sin endeudarme o sin pedir prestado que mis hijos y nietos no pasen necesidades y puedan disfrutar de su niñez sin tener que estar ayudando a sus padres para poder tener un plato de comida
30,q2,__todos__,Ganar un sueldo acorde sin pasar necesidades
31,q2,__todos__,Una buena vida para mí definitivamente sería no en esté pais. Tener Salud  Vida Social (Familia  Pareja  Amigos)  Trabajo y la capacidad económica para que cada tanto poder darme un gusto (Viajes  Hobbies  etc...)
32,q2,__todos__,Tener  buena salud   es tener buena vida!.lo demás se puede lograr conseguir   pero si te falla esa   falla todo  lo que se refiere a una buena vida :familia  casa   comida   seguridad .sin salud  es una vida a media  por lo tanto   no sería tan buena vida .solo vida .así que esas cinco cosas serían una buena vida .
33,q2,__todos__,Una buena vida es no tener preocupaciones económicas pero para eso habría que tener una mejor seguridad y sacar a esos corruptos que todos saben quienes son pero nunca ven nada
34,q2,__todos__,"Bueno, para mí tener una buena vida es tener salud, primero que nada, ya que vivo solo y necesito tener buena salud, poder moverme, poder, en fin, poder alimentarme correctamente y, bueno, tener las posibilidades de repente de hacer cosas, ¿no? Por eso dije que sí a contestar las preguntas porque hay veces que puedo estar manejando o cuando salgo en el paro no llevo celular, en fin, una cantidad de cosas que, pero bueno, tener una buena vida significa eso, tener salud primero y una alimentación correcta."
35,q2,__todos__,Tener una buena vida sería tener evidentemente salud trabajo vivienda y tiempo para voluntariado q es muy importante para el crecimiento de toda sociedad
36,q2,__todos__,Primero una buena educación con la coronación de una profesión o un buen trabajo y un buen pasar. Contar con un buen servicio de salud.No tener miedo de caminar por las calles por la inseguridad.
37,q2,__todos__,Una vida sencilla sin tanto estréa. Me gustaría levantarme y desayunar tranquila. Poder caminar por el barrio un rato para mi salud. Luego ir a trabajar pero no tantas horas como lo hago actualmente. Volver y tener tiempo para estar con mi familia o leer. Tener tiempo para cocinar sano también por salud sería ideal. Dormir temprano.
38,q2,__todos__,Claro fácil la respuesta: en primer lugar un buen salario eso me lleva a poder pagar la cuota de una hipoteca el poder alimentarnos medianamente en forma correcta o sea las 4 comida claro toda la familia  enviar a los chicos al colegio o liceo poder contar con los materiales de estudio tener ciertos confort hogareño y de ves en cuando un vez al año poder vacacionar al menos una semana con la flia no digo si podés ahorrar algo sería el sumo !!
39,q2,__todos__,Tener trabajo  una familia  una casa donde vivir  y poder darse los gustos
40,q2,__todos__,Tener casa propia  cuentas pagas y capacidad de ahorro
41,q2,__todos__,Tener cubiertas la s necesidades básicas
42,q2,__todos__,Una buena vida para mí sería q mi sueldo m alcance para pagar el techo donde vivo  q no m falten los artículos d primera necesidad y cada año poder ir d vacaciones a algún lugar en otro país que no sea lujoso  una playa en Brasil o algo así  todos deberíamos d gozar d eso
43,q2,__todos__,Para mi tener una buena vida es tener un pedazo de tierra propio. nUna buena vida es no tener que regalar mi fuerza de trabajo a un sistema injusto.
44,q2,__todos__,Tener una buena vida para mí es poder satisfacer todas las necesidades básicas de cada persona y vivir dignamente
45,q2,__todos__,"Bien, preguntas interesantes. ¿Qué significa para mí tener una buena vida? Es muy difícil esa pregunta. Sin sonar como de espiritualidad New Age, ni nada por el estilo. Tener una buena vida para mí significa estar bien conmigo misma y con el entorno. O sea, puede sonar muy espiritual y muy New Age, y muy de meditación y muy de frase para arrancar una clase de yoga o algo así. Pero para mí tener una buena vida significa estar bien conmigo misma y con el entorno. Y eso... Y creo que no puedo estar bien con el entorno si el entorno no está bien, digamos. Entonces, como que para tener una buena vida tienen que estar bien los demás que me rodean. Y no... Y eso. Si no, yo no puedo tener una buena vida. Porque no va por lo económico, ni va por lo material. A mí... No me significan mucho ese tipo de cosas. Si bien sí, o sea, no como abrazos, ni pago las cuentas con besos. Pero siento que si no está bien mi entorno, no puedo tener yo una buena vida. Si los demás no tienen una buena vida, yo tampoco la puedo tener. Sí implica lo económico, pero implica muchas otras cosas también. Como... Como... Como lo emocional, lo afectivo. Como... Lo espiritual, porque no tan bien. Tener un buen trabajo, disfrutarlo. Y a veces esas cosas no pasan. A veces la gente se sacrifica demasiado por el trabajo. Por ganar unos magos que los necesita para vivir. De vuelta, no soy una ingenua, ni una tonta. Pero eso. Y... Tener una buena vida para vivir. Para mí significa mucho más que el simple reconocimiento. Por así decirlo, me gusta decir éxito. Reconocimiento económico. O sea, que se te pague por lo que haces y que se te pague bien por lo que haces. Eso. No sé si fue aquí, si fue clara, pero intenté por lo menos."
46,q2,__todos__,Para mí  tener una buena vida significa tener tranquilidad  salud y estabilidad. Poder trabajar  llegar a fin de mes  tener un hogar y compartir tiempo con la familia. No se trata de tener grandes lujos  sino de poder vivir sin tantas preocupaciones  disfrutar de las cosas simples y saber que las personas que quiero están bien.
47,q2,__todos__,Tener un hogar  dónde dormir  estar seguro. Tener comida todos los días. Tener medios para transportarse  acceso a salud de calidad
48,q2,__todos__,Poder adquirir alimentos acordes a mi salud y edad  poder pagar las cuentas y poder tener tiempo y dinero para recrearme
49,q2,__todos__,Significa tener un buen trabajo  que me guste  salud mental y física. Y un buen pasar económico
50,q2,__todos__,Tener trabajo y salud
51,q2,__todos__,Considero una buena vida: tener acceso a la salud  educación para mis hijos  seguridad y medios económicos muy buenos
52,q2,__todos__,Sentir una real armonía entre lo que quiero incorporar a mi historia personal de vida y lo que tengo que hacer para mantenerme integrado en una sociedad cada vez más polarizada. Haber acertado en mis relaciones interpersonales y mantener una seguridad constante para poder seguir desarrollando y realizándome de acuerdo a mi escala de valores.
53,q2,__todos__,"Supongo que la consulta va hacia lo individual, porque plantear una buena vida para toda la sociedad no es fácil. Si así se trata, si se trata de que considero una buena vida, lo personal, con mis 88 años, fue variada. Tuve una infancia feliz en otra época, muy distinta a la actual, con menos elementos que mejoran. La calidad de las personas, en cuanto a que han surgido objetos técnicos que favorecen la actividad, pero con una relación social muy inferior a la que yo pude haber vivido durante muchos años. Hoy prácticamente todo el mundo anda con los celulares. Los celulares en la mano, caminando, manejando, y el relacionamiento personal se ha perdido. Antes era muy frecuente ver a los vecinos conversar con frecuencia y durante tiempo. Hoy eso casi no se percibe. Los chiquilines hoy están condenados. Los celulares, hasta en la clase, eso antes era imposible. No solo porque no existían celulares, sino porque la vida era manejada de otra manera. No me puedo quejar desde lo personal, insisto, de cómo me ha ido a mí y a mi familia. Pero no dejo de reconocer que hay otras personas, otros compañeros. Hay otros patriotas que no la están pasando bien. No soy de los que pasean con frecuencia. Lo he hecho en oportunidades de vacaciones, acá en Sudamérica. Pero no critico a quienes lo hacen, lo pueden hacer. No tengo más elementos para resaltar en este punto."
54,q2,__todos__,Una pregunta con respuestas muy variadas. En lo económico  capas tener más posibilidades laborales ya que como trabajar independiente.  Veo que para el estado trabajan empresas  con amiguismo aunque uno cobre menos siempre se lo dan a empresas más grandes.  Y respondiendo en lo personal.  Sería poder vivir sin miedo a que te arrebatan la vida en un instante por robarte lo que te lleva años de sacrificio y trabajo tener. Ya sea un beiculo u cualquier objeto. Hoy en día el estrés más grande es el estar permanente  tratando de que no te roben o lastimen
55,q2,__todos__,Una familia sin preocupaciones economicas y sin vivir para trabajar dejando algo de tienpo a la familia
56,q2,__todos__,Poder tener un techo digno donde vivir  tener acceso a salud y a medicamentos  y una educación buenanTambién un trabajo estable en el que se pueda trabajar para vivir  no vivir para trabajar
57,q2,__todos__,"En mi caso, por ejemplo, yo sufro mucho la intranquilidad. El barrio es muy intranquilo, últimamente. Más allá de la falta de trabajo, que a mis hijos les cuesta mucho ir al trabajo, les queda muy lejos, van en moto. Uno está continuamente pensando que lleguen, que no lleguen, si llegaron, cómo están. Que la plata te alcance para cubrir los gastos. Soy jubilada. Ellos me ayudan, pero bueno, es todo muy inestable, como yo digo. A veces pagas más, a veces pagas menos. Tenemos deuda con la casa. Entonces es como siempre estar viendo que te alcance. Yo tengo una jubilación mínima, pero... Es muy estresante todo, o sea, es muy estresante. El día a día es complicado. Creo que siempre fue así, o creo que ahora está peor por el tema de la seguridad. Y los accidentes de tránsito, y la gente que anda en la calle con la cabeza en otro lado, y las cosas que están pasando, que uno ve que son raras, que son cosas que nunca pasaban antes, como obvios que descarrilen. O accidentes que uno dice, no, no se puede creer. Entonces uno siempre está alerta, uno como que no vive tranquilo tampoco."
58,q2,__todos__,Significa superar los obstáculos y tener buena salud
59,q2,__todos__,Gracias.
60,q2,__todos__,Tener una buena vida es poder desarrollar las etapas del ser humano como se debe con una linda niñez amparado en salud  educación y contención y así la juventud socializando en equidad   llevar adelante tu vocación y vivir de ello  trabajar y mantener! decorosamente a la familia  tener la libertad de elección y las posibilidades necesarias para realizarte como persona   tener un techo  y las posibilidades después que terminaste tú etapa laboral no necesitar de la ayuda económica del estado o de otros   quien trabaja tiene que reflejarse su esfuerzo en su jubilación  en poder disfrutar y darte gustos que quizás cuando tienes hijos y trabajo no lo puedes hacer por no tener tiempo .
61,q2,__todos__,Significa no tener preocupaciones materiales  y poder disfrutar de mi familia e intereses culturales
62,q2,__todos__,Para mí tener una buena vida significa tener un equilibrio entre la paz mental la salud el bienestar emocional  Buenos vínculos y tranquilidad financiera
64,q2,__todos__,Tener un trabajo digno poder tener una casita
65,q2,__todos__,Tener salud y tranquilidad económica para poder disfrutar. Y no vivir para trabajar si no trabajar para vivir
66,q2,__todos__,Para mi  tener lo básico ya esta bien  sin ser conformista   tener trabajo tiempp con la familia no pasar necesidades
67,q2,__todos__,"La buena vida y para mí con la tranquilidad y tener un poco más arreglada mi casa y que mi hijo vaya seguro a estudiar y que tenga lo necesario porque la plata no nos alcanza para llegar a fin de mes. Un poquito más de, yo soy discapacitada motriz, yo pido más bien un poquito más de, a ver, no tengo también a mi casa, la plata no me da. Yo no pido un lujo pero pido un poquito de, y accesibilidad también en cuanto a la localidad. Yo tengo que pagar con mi propia plata, a veces no tengo plata para ir a los médicos, si bien a veces hay en algunos momentos, como en el caso de hoy, tenía que ir a Montevideo y no pude ir por en cuanto a la alerta, también ahí entiendo, pero estaba lejos y no pude concurrir. Entonces, yo tengo que pagar con mi propia plata. Entonces, yo tengo que pagar con mi propia plata. Entonces, digo, ¿en qué estamos? Vuelvo de vuelta a la misma, ¿en qué estamos? Para mí una buena vida no es lujo, sino comodidad en todo sentido."
68,q2,__todos__,Tener un lugar digno para vivir poder salir a trabajar tranquilo sin miedo a que te roben y te lastimen muchas veces por nadanQue mis hijos puedan salir y disfrutar su adolescencia sin miedo a que les pase algo. Tener un trabajo que tenga una remuneración apropiada y no tenga que trabajar 12 horas para apenas llegar a fin de mes
69,q2,__todos__,Una buena vida es tener un trabajo que te permita vivir sin sobresalto económico  hacer lo que me gusta y un buen sistema de salud
71,q2,__todos__,Que tengas un trabajo que te guste que ganes para cubrir tus gastos mensuales que te puedas dar un pequeño gustito y poder ahorrar para algún proyecto
72,q2,__todos__,Trabajo  tranquilidad
73,q2,__todos__,Yo me conformaría con trabajar para vivir y poder llegar a fin de mes
74,q2,__todos__,realmente tengo hoy x hoy una buena vida  no solo en lo material  sino en lo relativo a la familia
75,q2,__todos__,Poder trabajar cómodamente. Que el dinero me sea suficiente para poder mantener a mi familia y darme mis gustos
76,q2,__todos__,tener una buena vida significa tener ingresos llamémosle aceptable que te permitan hacerte los gustos en la diaria poder mantener este un vehículo este y alguna salida alguna salida extra eso simplemente yo me considero clase media este y a pesar de que estoy jubilado este creo que pasó bastante bien
77,q2,__todos__,Poder disponer de mi tiempo  estar en contacto con la naturaleza  sin contar los pesos para terminar el mes  buena cobertura de salud
78,q2,__todos__,Salud  seguridad  estabilidad económica  educación de buen nivel los servicios básicos de excelentísimo nivel
79,q2,__todos__,Una buena vida significa para mí poder desarrollarme personal y laboralmente sin la preocupación de no poder conseguir el sustento mínimo suficiente requerido para ello  para mí y mi familia.
80,q2,__todos__,Para mi sería no depender del estado del tiempo para trabajar llegar a fin de mes sin sobresalto no estar contando monedas todo el tiempo
81,q2,__todos__,Tener una familia bien constituida  con valores. Tener buena salud y un poder adquisitivo que te permita vivir sin sobresaltos
82,q2,__todos__,para mi tener una buena vida seria tener un sueldo de acuerdo a los gastos que se mannejan en el mercado interno  ya sea en comestibles como en gastos de la casa.
83,q2,__todos__,Poder tener una vida  tranquila sin deudas ni problemas de inseguridad constante. Donde el acceso a lo básico como vivienda y trabajo pueda concretarse
84,q2,__todos__,"Para mí tener una buena vida, bueno, es tener salud, tener un trabajo que cubra todas sus necesidades y que a su vez, bueno, te pueda quedar algo para ahorrar y para darte algún tipo de gusto. Adicionalmente es ideal si tener ya una casa propia, sería lo más ideal, pero para mí en realidad eso es tener una buena vida, ¿no? Y bueno, vivir en un lugar seguro, sin tanta incertidumbre."
85,q2,__todos__,Tener trabajo salud y q se arregle el tema seguridad
86,q2,__todos__,Tener la familia unida  con buena salud  está es la basé
87,q2,__todos__,Para mi: la buena vida es lograr mis propios objetivos  concretar mis metas  mantener mi salud en buenas condiciones junto a mi familia .
88,q2,__todos__,"Para tener una buena vida, primero tenés que tener salud, sin salud nada. Tener salud, dinero, que es lo principal para poder salir, pasear, conocer, hacerte los gustos y el amor también de tu familia, de tus hijos, de tu marido, del que vos quieras, pero tener un poquito de amor es bueno también porque serían las tres cosas principales. Salud, dinero, bienestar y amor."
89,q2,__todos__,Tener una familia  trabajo con salarios dignos para acceder  a: n.vivienda cómoda n.centros de estudios públicos que brinde buena formación para niños y jóvenes.n.Disponer de tiempo de osio  y paseos
90,q2,__todos__,Significa tener resueltas las necesidades Básicas para sobrevivir y poder darse un lujo cada tanto
91,q2,__todos__,Sería tener acceso a vivienda  trabajo y educación. Con salarios que nos permitan cubrir los gastos básicos y también diafrutar del tiempo libre
92,q2,__todos__,Cubrir sin exigencias las necesidades básicas y tener un extra de ahorro o disfrute
93,q2,__todos__,Necesidades básicas satisfechas. Una vivienda digna  una alimentación adecuada  fácil acceso a la salud. Tener un trabajo que me permita acceder a lo mencionado antes. También  tener buenos vínculos  ya sean familiares o de amigos/conocidos.
94,q2,__todos__,Tener un trabajo digno tener una buena alimentación  poder salir a la calle sin miedo  llegar a fin de mes sin tener que medir los pesos
96,q2,__todos__,En mi caso tengo acceso a la salud  puedo comprar la medicación  puedo acceder a la salud bucal (en otro lugar  ya que la mutualista no cubre algunos procedimientos). Tengo 2 trabajos  eso me permite cubrir mis necesidades sin problemas. Llevar una alimentación variada y nutritiva Tengo la posibilidad de acceder a eventos culturales  ir al cine  viajar de vez en cuando y conocer distintos lugares del pais. Puedo ejercitarme. Tengo una vivienda digna. Duermo en un lugar confortable. Tengo la posibilidad de seguir estudiando y asumir desafíos de esta época.
97,q2,__todos__,Necesidades básicas satisfechas  tener trabajo  acceso a los bienes culturales
99,q2,__todos__,tener salud mental  estabilidad económica y sentirse satisfecho con sus metas personales  además de quienes nos rodean
100,q2,__todos__,Pues sería tener un trabajo preferiblemente técnico donde trabaja por mi cuenta ya con una clientela establecida dónde de a poco prospere esto dejándome poder organizar mi tiempo de manera que pueda trabajar Pero tener tiempo libre que pueda usar para o seguir estudiando si hablamos de algo reciente o cuidando de mi familia si fuera más a futuro pidiendo dedicar tiempo tanto a mis seres queridos como a mis pasatiempos y claro con buena salud dentro de lo posible
101,q2,__todos__,Tener desde el nacimiento   acceso a condiciones dignas (educación  salud  vivienda  seguridad  transporte) para llegado el momento y en base a condiciones propias  desarrollar una vida provechosa
102,q2,__todos__,Una buena vida sería poder satisfacer todas las necesidades  como poder educarse  tener una buena alimentación  una buena cobertura de salud  un techo comodo para toda la familia y unos ingresos que permitan cumplir con todo eso y tratando de llegar a fin de mes sin estrecheces
103,q2,__todos__,Poder tener cubiertas las necesidades de salud nTener un trabajo digno y de autorrealización nPoder brindarle a los hijos una buena educación.
104,q2,__todos__,Tener trabajo  mi familia con buena salud  no tener necesidades económicas  permitirme algún lujo ocasional
105,q2,__todos__,Una vida saludable en todo sentido: en la relación que se tiene con una misma  en los vínculos cercanos  en el trabajo  y en las bases materiales que hacen posible sostener una vida mínimamente digna.
106,q2,__todos__,Para mí  tener una buena vida no significa necesariamente tener una vida perfecta ni tener muchas cosas. Significa poder vivir con tranquilidad  tener salud  contar con personas que queremos y que nos quieren  y sentir que lo que hacemos tiene un sentido.nnEn la vida cotidiana creo que una buena vida se construye en cosas bastante simples: poder compartir una comida en familia  tener tiempo para conversar  disfrutar de nuestros hijos y de nuestros afectos  trabajar en algo que nos haga sentir útiles  tener la posibilidad de proyectarnos y también de darnos un tiempo para nosotros.nnTambién significa tener la tranquilidad de saber que  si nos esforzamos  podemos acceder a determinadas oportunidades y construir nuestro propio camino. Y para mí es muy importante que esa posibilidad no dependa solamente de dónde nacimos o de cuánto dinero tiene nuestra familia.nnCreo que una buena vida es poder llegar al final del día y sentir que  aun con las dificultades y los problemas que todos tenemos  estamos viviendo de acuerdo con lo que valoramos. Tener tiempo para querer  para aprender  para disfrutar y para aportar algo a los demás. Para mí  ahí está buena parte de la verdadera calidad de vida.
107,q2,__todos__,Que tanto tu familia y uno tenga buena salud y que le dé los ingresos para todo lo que implica eso.
108,q2,__todos__,Sería poder vivir tranquilos  sin miedo de ir a la esquina. Si tener que estar pendiente de la hora para llamar o que te llamen tus hijos para avisarte que llegaron bien . Que es de noche y ya están en sus hogares. Lo que hoy día tampoco es mucha seguridad ni tranquilidad. Poder llegar a fin de mes con un plato de comida en la mesa. Con la medicación completa y no saliendo alguna dosis por qué no se llega. Buena vida para mí es vivir tranquilo  si. Que te sobre pero que tampoco te falte. Poder vestirte no con lujos pero tampoco con ropa rota o chica.
109,q2,__todos__,Tener las necesidades cubiertas   y además una proyección   un entusiasmo   unas ganas de superarse y crecer   como persona   como empresa  como país
110,q2,__todos__,Para mí tener una buena vida está relacionado con tener una buena condición de vida  tener mínimo lo básico
111,q2,__todos__,Tener una buena vida en mi opinión significa: Tener seguridad y estabilidad  tanto personal como económica.nContar con vínculos afectivos saludables  familia  amigos y personas que nos quieran y acompañen.nTener salud física y emocional y poder cuidar de uno mismo.nRealizar un trabajo o actividad que nos permita desarrollarnos y sentir que lo que hacemos tiene valor.n Tener libertad para tomar decisiones sobre nuestra propia vida.nTener proyectos y objetivos aunque sean pequeños. nVivir en una sociedad donde exista seguridad  justicia y oportunidades.
112,q2,__todos__,Tener una buena vida no depende solo de bienes materiales  se trata de un equilibrio entre bienestar físico y mental  cultivar relaciones significativas  tener un propósito y vivir en paz con uno mismo
113,q2,__todos__,Casa  comida  trabajo y salud y poder pagarse una vacaciones  nada de grandes viajes  pero poder salir a otro lugar a pasear. Poder darle la mejor educación a tus hijos
114,q2,__todos__,Una buena vida es aquella que hay salud y afectos  aquella que se puede compartir con seres queridos. Una buena vida requiere cierta estabilidad en cuanto a ingresos relación trabajo.
116,q2,__todos__,Tener trabajo y un lugar digno donde vivir
117,q2,__todos__,Tener las condiciones básicas de vivienda  trabajo  tiempo libre y recursos para poder dusfrutarlo.
118,q2,__todos__,Q tengas todo al alcance de tu mano  sin tener q andar haciendo sacrificios para obtener algo
119,q2,__todos__,Para mí  tener una buena vida es poder vivir tranquilo  tener salud  trabajo y tiempo para compartir con las personas que uno quiere. También implica poder cubrir las necesidades básicas sin estar preocupado todo el tiempo por los problemas económicos
120,q2,__todos__,Tener estabilidad emocional y económica.
121,q2,__todos__,Para mí una buena vida significa tener buena salud en todos los integrantes de la familia  un techo donde vivir y con tar con los ingresos suficientes para poder llevar a delante el día a día
122,q2,__todos__,Tener una buena vida seria vivir feliz  seguro  con estabilidad económica  y lo principal gozar de buena salud
123,q2,__todos__,Tener una buena vida  tiene varios aspectos distintos que en conjunto la haría  sería estar bien Mental y Espiritualmente ver a tu familia que va progresando en la vida  como familias en aumento(nietos) mucho mejor que lo hizo uno a sus edades  ese es un punto primordial  esa es una tranquilidad pura y absoluta  quien contesta va pasando los últimos años de la vida  ya jubilado sin mayor apuro o responsabilidad que tener tiempo para hacer lo que a cada uno le gusta y en menor pero importante escala  que la situación económica sea estable
124,q2,__todos__,"En realidad una buena vida es tener todo lo necesario para vivir, una habitación que se apropia, una habitación no, un domicilio, una casa que se apropia, comida, salud, dinero para poder darse un gusto, poder salir, pero en este momento la verdad que se está pudiendo poco. Yo por ejemplo tengo auto y no lo puedo sacar porque el costo de la nafta me es muy caro, o sea que tengo que movilizarme en ómnibus. Me gusta viajar, no lo puedo hacer, mientras que hasta hace tres años viajaba tres o cuatro veces en el año. Y luego vivienda propia no tengo, tengo la magra jubilación después de 42 años trabajados. Trabajados y aportados, porque yo aporté y siempre aporté por lo que ganaba. Y gracias a Dios siempre tuve trabajos muy buenos y siempre gané bien. Y la jubilación que gano es magra. Me da para llegar al fin de mes, sobrándome de repente 100 pesos."
125,q2,__todos__,Tener un hogar con comodidades  (agua caliente para bañarse  cisterna  cielo raso  internet)  tener un trabajo bien remunerado q te de para comer bien  vestirte y darte algún gusto y sobre todo tener salud
126,q2,__todos__,Poder trabajar para solventar una vida digna  poder dar una buena educación a mis hijos  vivir en tranquilidad cosa que ya se perdió en Uruguay.
127,q2,__todos__,Trabajo estable  un sueldo que de para vivir normal  con lo básico  no necesito lujos. Poder salir a la calle sola sin preocuparme si me siguen  me roban  me secuestran o matan.
128,q2,__todos__,Tener trabajo y salud  el resto se resuelve solo
129,q2,__todos__,"Y una buena vida sería, bueno, tener tranquilidad, no tener que preocuparme por algunas cuestiones vinculadas a lo económico, también a la salud de mi familia."
130,q2,__todos__,Tener una buena  familia   llegar a fin de mes sin problemas
131,q2,__todos__,Una vida con trabajo interesante  tiempo de ocio para pasar con la gente que quiero  necesidades materiales básicas cubiertas y un resto para no estar luchándola a diario.
132,q2,__todos__,Buenas vida sería poder  contar con salarios justos  trabajo estable y bien remunerado. De la mano de esto  contar con un Estado que respete y garantice los derechos de todas y todos
133,q2,__todos__,Tener libertad plena  estudio  trabajo y vivienda. Poder tener un sueldo digno que me permita disfrutar (vacaciones  espectáculos artísticos  salidas ec familia y amigos)  para mí y el resto de la población.
135,q2,__todos__,Bla bla
136,q2,__todos__,"Bueno, para mí una buena vida sería tener todas las condiciones satisfechas, tanto sea salud, casa, comida y bienestar."
137,q2,__todos__,Para mí sería tener un trabajo que asegure buen ingreso económico o por lo menos suficiente para mantener una familia. Que los hijos puedan educarse y tener asistencia médica adecuada. Tener acceso a una vivienda con los servicios correspondientes  con transporte etc. si es posible un vehículo para trasladar a la familia y también tener algún recurso para diversión y entretenimiento. Es fundamental tener seguridad al salir a la calle. Debería existir un ingreso mínimo para los hogares tanto de trabajadores como para jubilados bastante superior al actual.
138,q2,__todos__,Una buena vida sería tener la oportunidad de tener un costo de vida donde no sea difícil llegar a fin de mes nDónde el dinero de para poder pagar un alquiler  comer  pagar gastos personales  más los gastos dea casa  poder darnos un gusto  y viajar al menos 1 vez al año y poder ahorrar  para poder invertir dinero a futuro nSi hablamos de temas economicos nTambién hay que tener en cuenta tener salud  poder vivir en un lugar seguro  tener apoyo familiar y amistades
139,q2,__todos__,Buena vida:   personalmente lo tomo a tener tiempo en el dia a dia para uno  hacer lo que crea conveniente para su bienestar  tanto psicológico como físico.
140,q2,__todos__,Trabajo estable  que los niños tengan buena educación y los jóvenes con perspectivas de futuro Buena alimentación  más familia  menos pantallas
141,q2,__todos__,"tener una buena vida es vivir con dignidad, ser buena persona, por supuesto, tener lo suficiente para poder alimentarte, para poder vivir bien, no con esto te digo que tengamos que tener la plata del mundo, pero sí que ganemos lo suficiente como para poder mantenernos bien y principalmente vivir con principios."
142,q2,__todos__,Techo propio  seguridad laboral  cobertura de salud  buena educación para los hijos poder ahorrar algo para algunas vacaciones  aumentar patrimonio o situaciones excepcionales
143,q2,__todos__,"Bueno, una buena vida es tener trabajo, tener un sueldo o tener jubilación correspondiente, tener una vivienda, poder alimentarse, hacer las cuatro comidas diarias y tener que te permita un mundo de disfrute o ocio de acuerdo a tu edad."
144,q2,__todos__,"Bueno, para mí la buena vida, yo soy jubilada, es poder llegar a fin de mes con las cuentas pagas, tener un plato de comida, un techo en mi cabeza, poner sobre la almohada mi mente en paz y cada tanto poder hacer un viaje cortito a las termas, no más de acá, no pido mucho, pero más que nada vivir en paz."
145,q2,__todos__,Para mí  tener una buena vida es poder llevar una vida saludable sin que sea un privilegio: tener tiempo para hacer ejercicio  acceder a alimentos sanos a precios razonables  descansar bien y también compartir y disfrutar con las personas que quiero
146,q2,__todos__,Trabajo vida segura y disfrute lúdico y saber que los míos vuelven a casa cada vez que salen
147,q2,__todos__,Una buena vida sería posible en una sociedad en la cual existan oportunidades y facilidades para que todos podamos elegir hacer las cosas que queremos y tengamos aseguradas nuestras necesidades  en la cual los servicios públicos funcionen  las instituciones sean eficaces y eficientes  el entorno está limpio y cuidado  los recursos se protegen  existan más espacios para estrechar lazos  el sistema político tenga mayor nivel y sus integrantes penalizados cuando cometen abusos evidentes  donde existen principios públicos de justicia y nadie tiene posibilidad de evadirla… en suma  una vida buena  floreciente  próspera  es posible en un entorno adecuado
148,q2,__todos__,Tener lo necesario y poder vivir en paz
149,q2,__todos__,"Bien, en lo que corresponde, o sea, salud, dinero y amor, en el orden que salud, amor y dinero sería, pero en lo que corresponde al país, según para mí, es mejorar la parte de la salud, mejorar la parte de educación, realmente estamos como desorientados en tema de educación, no tenemos un rumbo muy claro, no estamos enseñando a pensar los niños, entonces para mí eso es fundamental, que los niños razonen, así que para mí, para mí es fundamental. Este, que los niños razonen, que usen y trabajen con la tecnología, está fabuloso, pero que razonen. Este, no sé si la inteligencia artificial es una de las cosas que le va a jugar a favor a los alumnos o totalmente en contra. Me afilio más a la segunda, porque no los ayuda a pensar, a desarrollar su capacidad intelectual. Este, después, el trabajo hace, no sé, cinco años, seis años, que oscila entre el 8 y el 6,5, por decir algo, la desocupación según la parte del año, ya a estas alturas, o sea, añoro, hace unos años, años atrás, cuando teníamos el 4 y algo, este, sobre salario, según mi percepción de eso, a menor desocupación, o sea, mayor cantidad de gente ocupada, los salarios mejoran por sí solos, pero con una desocupación de ese entorno, ya cuesta mejorar los salarios, este, eso es lo que, la percepción que yo tengo, y bueno, el acceso a la vivienda es fundamental, este, hoy por hoy, las nuevas generaciones, es tremendamente complicado, por lo menos, donde vivo yo, en Maldonado, acceder a un terreno, este, los gurises, la gran mayoría, construyen en los terrenos de sus progenitores, abuelos, padres, o parientes, entonces, ahí, ahí es la, la, la parte que, que me parece que, que también, entonces, esa es mi percepción de buena vida, tener la vivienda, la seguridad habitacional, y bueno, el trabajo, para mejorar los salarios un poquito, y tener un, un desarrollo económico, y la salud, y educación."
150,q2,__todos__,tener tranquilidad  tanto emocional   cómo económica
1,q3,__todos__,Ir al gym y pasear con la familia
2,q3,__todos__,Me gustaría que hubiera mejor conectividad respecto al transporte público para poder pasear por la ciudad
3,q3,__todos__,trabajar
4,q3,__todos__,Cuando tengo tiempo usualmente leo  paseo y paso tiempo con vínculos cercanos. Esto es lo que me gusta hacer.
6,q3,__todos__,Descansar  leer  pasar tiempo en la naturaleza. Me gustaria poder dedicarme mas a mis hobbys.
7,q3,__todos__,Miro series o películas  también uso la computadora
8,q3,__todos__,Con mayor frecuencia miro series  consumo redes sociales y practico deporte. nLo que más me gustaría hacer es viajar
9,q3,__todos__,De ahí en nas
