row,id,pregunta,respuesta,columna_codigo,codigo_anterior,codigo_corregido
65,64,q11,"porque a partir de la infancia partís el país, pero también tiene que preocuparse por la gente grande no solo, tiene que preocuparse por los sectores carenciados, por la gente que no tiene trabajo",codigo_q11,EDU-CONTENCION-ESTADO; EDU-OBLIGACION-CIVICA; EDU-HERRAMIENTA-FUTURO,
67,66,q11,Q quieren q seamos analfabetos,codigo_q11,EDU-HERRAMIENTA-FUTURO; EDU-PENSAMIENTO-CRITICO,EDU-PENSAMIENTO-CRITICO; CRÍTICA-PEDAGÓGICA-REFORMA
70,69,q11,Garantia de asegurar aprendizajes  salir de hogares hostiles,codigo_q11,EDU-CONTENCION-ESTADO; EDU-CONTRA-DELINCUENCIA,EDU-CONTENCION-ESTADO; EDU-HERRAMIENTA-FUTURO
79,78,q11,Para que se instruyan y no sean analfabetos ignorantes  a los que cualquier político les compré el voto a cambio de una módica suma,codigo_q11,EDU-PENSAMIENTO-CRITICO; EDU-HERRAMIENTA-FUTURO,EDU-PENSAMIENTO-CRITICO
88,87,q11,"Es importante, me parece, me parece importante pero me parece estaría buena la virtualidad también, que le den la opción a los adolescentes, a los jóvenes adolescentes, a los niños no, porque no se enganchan tanto a lo virtual, pero sí a ese grupo etario que tenga la posibilidad de adultos también de estudiar más virtualmente.",codigo_q11,EDU-HERRAMIENTA-FUTURO,EDU-HERRAMIENTA-FUTURO; CRÍTICA-PEDAGÓGICA-REFORMA
90,89,q11,Xq tienen q asistir todos los dias,codigo_q11,EDU-OBLIGACION-CIVICA; EDU-INTEGRAL-SOCIAL,EDU-OBLIGACION-CIVICA
92,91,q11,Claramente para que sepan que es una responsabilidad y disciplina en la vida . Para que no pierdan días de clase   no pierdan los temas,codigo_q11,EDU-OBLIGACION-CIVICA; EDU-INTEGRAL-SOCIAL,EDU-OBLIGACION-CIVICA; EDU-INTEGRAL-SOCIAL; EDU-HERRAMIENTA-FUTURO
105,104,q11,porque la educación tiene multiples funciones  además de dar herramientas para la vida  genera posibilidades de socialización saludable  a veces también alimentación adecuada y ejercicio  sumando otros referente vitales.,codigo_q11,EDU-INTEGRAL-SOCIAL; EDU-HERRAMIENTA-FUTURO,EDU-INTEGRAL-SOCIAL; EDU-HERRAMIENTA-FUTURO; EDU-CONTENCION-ESTADO
112,111,q11,Es el tiempo que tienen xa formarse  ya luego tocan más respobsabillidadds,codigo_q11,EDU-HERRAMIENTA-FUTURO; EDU-INTEGRAL-SOCIAL,EDU-HERRAMIENTA-FUTURO
115,114,q11,"Y porque es lo que hablamos, lo que estamos hablando, debe ser algo prioritario el tema de la educación y que los grises y todo puedan ir al centro y si no quieren ir por las buenas, obligarlos a que vayan a estudiar eso está clarísimo y que tengan las mismas condiciones igualitarias de todo.",codigo_q11,EDU-OBLIGACION-CIVICA; EDU-CONTRA-DELINCUENCIA; EDU-INTEGRAL-SOCIAL,EDU-OBLIGACION-CIVICA; EDU-INTEGRAL-SOCIAL
8,7,q12,Que asistan a clase,codigo_q12,SUG-REFORMA-PEDAGOGICA,
25,24,q12,Que pongan más enfasisis en atraer a los padres para que la educación de sus hijos se como las de antes,codigo_q12,SUG-VUELTA-TRADICION,SUG-VUELTA-TRADICION; SUG-ACOMPAÑAMIENTO-BIOPSICO
26,25,q12,Que saquen las ceibalitas de circulación y saquen más libros,codigo_q12,SUG-INFRAESTRUCTURA-LOGISTICA,SUG-VUELTA-TRADICION
28,27,q12,"Yo pienso que es el trabajo de los maestros, de que el niño quiera ir a la escuela. Incentivar a los niños que quieran ir a la escuela. Y tal, bueno, el padre y la madre, por recibir una asignación familiar o lo que fuere, los mandaban porque hacía un tiempo era obligación, cuantas faltas, te quitaban la asignación. Ahora parece que no, que no es obligación estudiar para recibir la asignación. Bueno, para mí es una de las maneras para que el padre o la madre se sienta atrapado a que el niño vaya a estudiar. Es quitándole la asignación, tocarlo donde algo lo duela porque hoy el mundo está muy cambiado. Muy cambiado, ya no es importante, muchas cosas, las fechas patrias, la magoña, la túnica, ya no es importante para mucha gente. Hay gente que no sabe quién es Artiga, quién es Varela, quién es quien fundó tal cosa. Por eso la educación se perdió, que ya creo que hace unos 20 años se viene perdiendo, deteriorando.",codigo_q12,SUG-PUNITIVA-FINANCIERA; SUG-EMPATIA-DOCENTE,SUG-PUNITIVA-FINANCIERA; SUG-EMPATIA-DOCENTE; SUG-VUELTA-TRADICION
34,33,q12,"que mejoren la calidad de los profesores y de los maestros que dan lástima no saben ni hablar que corrijan las faltas que se hagan de vuelta las planas cuando las faltas están mal que se actualicen las informaciones que se den más conocimiento general y que se dejen de darle mosnas y que pongan condiciones reales de estudio Salones buenos, limpios, con buena calefacción y dejen las limosnas de la copa de leche y eso si no se encargue de darle trabajo para que la gente pueda mandar dignamente a estudiar a sus hijos",codigo_q12,SUG-EMPATIA-DOCENTE; SUG-INFRAESTRUCTURA-LOGISTICA; SUG-ASISTENCIALISMO-BECAS,SUG-EMPATIA-DOCENTE; SUG-INFRAESTRUCTURA-LOGISTICA; SUG-VUELTA-TRADICION
